Family,Ju_E1_D_1,Ju_E1_D_2,Ju_E1_D_3,Ap_E1_D_3,Au_E1_D_1,Au_E1_D_3,Ap_E1_D_2,Ap_E1_D_1,Au_E1_D_2,Ap_E2_D_2,Au_E2_D_3,Au_E2_D_1,Ap_E2_D_1,Ju_E2_D_2,Ju_E2_D_1,Ap_E2_D_3,Au_E2_D_2,Ju_E2_D_3,Au_E3_D_3,Au_E3_D_1,Ap_E3_D_1,Ap_E3_D_2,Ju_E3_D_2,Au_E3_D_2,Ju_E3_D_1,Ap_E3_D_3,Ju_E3_D_3,Ju_E4_D_3,Au_E4_D_2,Au_E4_D_1,Ju_E4_D_1,Ap_E4_D_1,Au_E4_D_3,Ap_E4_D_2,Ju_E4_D_2,Ap_E4_D_3,Ju_E1_W_3,Au_E1_W_3,Ap_E1_W_3,Au_E1_W_2,Ap_E1_W_1,Ap_E1_W_2,Ju_E1_W_1,Ju_E1_W_2,Au_E1_W_1,Ap_E2_W_1,Au_E2_W_3,Au_E2_W_2,Au_E2_W_1,Ap_E2_W_3,Ju_E2_W_2,Ap_E2_W_2,Ju_E2_W_3,Ju_E2_W_1,Ju_E3_W_2,Ap_E3_W_2,Ap_E3_W_3,Au_E3_W_2,Ap_E3_W_1,Au_E3_W_1,Ju_E3_W_3,Ju_E3_W_1,Au_E3_W_3,Ap_E4_W_3,Ju_E4_W_1,Au_E4_W_1,Au_E4_W_2,Ju_E4_W_3,Au_E4_W_3,Ap_E4_W_1,Ju_E4_W_2,Ap_E4_W_2
GT41,1934.325927,1872.984496,1654.225687,2224.179492,2454.280824,2189.671678,1972.013849,2028.694525,2130.488301,2089.740474,1900.866035,2583.303235,2125.489161,1948.266793,1982.829033,2300.833846,2068.374171,1976.830853,1713.47092,1814.988324,1476.757786,1624.45043,1466.141074,1581.548265,1636.524531,1644.6891,1332.222143,1971.430021,2251.977731,2018.224953,1860.661048,1672.184878,1988.146262,1870.95707,1950.854781,2297.587248,2608.966244,2291.163192,2987.69119,2493.240976,2788.618512,2861.445604,2442.442011,2493.981137,2496.650372,2670.434931,2377.256798,2530.302032,2571.102335,2758.14379,2159.169538,2622.797667,2392.684813,2423.601346,3505.517149,3167.885482,2988.181092,2533.73267,2802.138829,2169.632501,2708.961017,3521.163137,2134.428569,2572.590051,2929.190628,1975.601971,1999.223734,2774.176202,2816.928519,2260.874055,3373.584327,2348.34563
GT4,2404.593368,2149.097602,2102.61103,2772.765755,2831.528136,2300.956846,2383.213565,2226.024049,2534.56389,1766.43386,1872.036991,2167.169451,1817.041056,1830.942079,1910.235903,1892.081913,1914.002649,1981.458965,1796.464435,1727.417053,1648.071465,1725.308393,1634.580172,1708.649731,1819.978735,1737.800938,1747.648589,1825.513544,1927.034683,1817.569563,1810.379939,1736.726544,1879.879943,1853.796139,1803.06285,1898.268531,2591.160202,2535.546697,2626.568117,2658.835519,2675.611238,2684.091584,2703.121091,2663.870771,2635.749763,2657.758738,2400.365547,2527.395609,2628.826148,2658.495069,2466.806683,2596.590947,2552.318624,2531.679145,2249.022886,2135.324551,2023.482191,1955.117643,2023.515074,1868.191746,2090.113256,2134.167149,1864.864091,1955.37761,2108.142386,2054.449061,2123.253949,2052.892412,2271.01752,2147.015475,2050.181748,2192.513439
GT2_Glycos_transf_2,2420.195675,2070.799612,2001.148804,2637.173864,2637.707285,2192.84187,2309.993943,2106.121588,2482.0184,1714.857277,1760.447977,2063.598653,1768.817907,1737.274045,1727.755041,1759.173524,1842.620587,1765.291707,1696.343,1588.080617,1596.773,1568.996378,1599.90656,1614.374674,1691.49716,1654.94911,1696.241073,1578.358417,1622.909704,1579.395835,1600.498023,1556.70267,1575.416363,1637.071519,1600.416104,1705.765367,2362.941388,2345.562163,2396.023622,2509.295725,2505.731153,2461.693626,2478.800514,2342.033539,2464.253628,2375.809449,2163.406745,2280.807823,2337.336655,2357.412041,2275.190164,2287.196409,2307.183513,2291.97466,1901.433027,1831.952208,1832.53758,1767.800303,1801.535294,1620.62875,1781.93186,1800.651143,1630.374726,1740.201849,2043.87683,1984.114804,1863.128189,1925.462143,2352.591297,1921.497537,2043.685511,1922.150884
CE1,1697.792081,1613.682342,1628.054176,1681.457161,1697.489891,1626.413997,1566.401384,1593.808309,1737.775431,1569.163613,1553.960916,1792.445773,1583.613635,1600.480131,1560.571161,1600.340615,1647.951619,1610.134175,1554.275793,1585.309907,1652.239867,1618.301691,1616.619275,1628.030978,1633.592378,1552.957518,1525.542105,1485.364316,1479.866824,1513.764717,1513.782925,1546.486517,1494.232019,1456.086443,1488.296754,1470.501836,1459.345643,1318.980855,1387.571532,1443.659344,1280.504423,1376.019154,1323.185229,1520.027483,1370.603641,1576.00094,1568.465412,1606.136483,1554.382502,1563.727528,1645.925574,1572.745077,1507.489139,1588.54068,1540.952802,1563.796241,1549.973319,1537.922483,1569.07966,1612.783871,1507.344622,1577.72336,1547.722619,1548.455572,1286.95342,1625.538587,1533.944678,1327.356607,1113.404663,1625.888232,1249.112726,1558.123331
CE10,1134.630499,1066.73184,1117.223081,1189.495341,1223.875307,1175.102643,1090.294326,1078.862682,1185.669777,1012.859008,1095.028142,1205.81561,1018.775454,1069.929373,1058.378379,1032.199665,1029.834561,1076.357163,1229.498934,1156.59019,1241.606337,1176.771561,1242.875255,1223.971029,1190.097204,1114.273139,1164.295544,1161.150842,1137.386309,1173.421742,1174.227798,1184.614293,1172.25782,1144.486527,1127.14526,1130.344539,853.974002,894.5328299,804.7467434,918.7257405,783.2121496,818.5542352,784.9460582,999.4611061,865.1388502,1123.987114,1176.71694,1173.651377,1122.294574,1085.83136,1144.137732,1114.837022,1065.108422,1109.185356,1123.124316,1167.515425,1159.671931,1193.70632,1139.686957,1202.310066,1156.415928,1169.418549,1222.156645,1299.999809,955.6702253,1287.506328,1150.208286,1018.498395,832.6440964,1190.29026,982.8702842,1157.569901
AA7,1051.304051,940.3781966,1063.19021,1022.375249,979.3963758,1010.096625,1026.523109,965.1817764,1045.530451,942.2634097,1061.048497,852.7721376,988.2090172,909.0169056,978.0628291,988.3062841,943.2459353,1036.805875,1157.960187,1163.142903,1118.374902,1184.611107,1121.862257,1241.12285,1204.945083,1264.669675,1268.15732,1171.710044,1124.494301,1143.817112,1134.275446,1152.520262,1127.337147,1203.575111,1120.73639,951.4774001,453.3180843,480.7055697,432.6874636,467.3041142,441.1332524,395.4437715,463.0078544,424.1255434,423.8054194,817.3481908,873.1914014,842.1513195,788.6766709,820.5778752,791.7647002,867.1979868,771.0944092,796.3166711,797.6953756,781.9688943,756.9339715,765.9156226,735.6083438,886.3232011,744.4688016,717.9942302,799.3500767,641.0619507,670.7965758,604.0849688,818.7433786,709.5303059,614.147196,752.354724,614.3296828,819.9759729
CE9,744.2671221,790.7163459,814.1120319,790.0351796,848.1146492,838.6805897,777.5988399,782.0775907,790.5263406,837.7816531,897.0261291,777.0849173,813.3450437,871.2409534,892.4743189,858.175625,785.469193,870.7742638,888.8569673,896.8333911,873.9237589,913.7167461,841.6938003,891.1006947,845.6063074,888.9624075,807.8783695,990.7622579,1037.093362,1034.975674,990.1789601,972.2823089,1017.173345,1015.849908,955.098293,935.987148,484.7481223,470.0818177,483.6548671,529.1041838,391.4874924,483.5346313,446.675143,619.6322837,472.5955753,806.2253537,827.7553919,847.7539287,805.562742,800.6525892,776.9846843,796.6737543,790.6142787,787.986855,820.4370093,797.0682192,823.4860732,873.1154468,848.6872675,857.3279307,772.6855775,864.3108127,852.2147081,782.2584418,759.9145504,859.0262118,855.0728759,749.9116514,694.2398096,769.6127363,819.1789528,780.5434384
GH109,745.59991,766.6477018,766.0405583,795.3924993,812.2912112,769.224844,757.3379771,778.6559366,744.23671,740.0976665,779.5194007,782.9274318,782.7423425,787.8373082,749.5144992,766.6581522,832.6557935,780.9068344,770.7695169,796.6958151,762.9690331,772.0530114,739.5579882,798.714255,742.8681727,749.3189166,778.8257669,752.8443137,756.6710812,750.1119915,728.7623818,796.4290813,747.5887575,755.3893814,756.8933826,717.3373838,769.8192168,640.1999508,622.0162633,689.968292,567.4339336,656.3859079,706.4239769,887.8520849,612.9262441,761.7166526,767.7290781,801.9459627,782.8897277,727.5744455,759.3287805,755.9422876,763.9556252,745.2169792,673.4594422,649.3292675,683.1801964,643.0022665,679.0655051,644.9631085,634.5135695,694.5038481,676.8907672,546.7404243,739.3818197,581.5916746,689.178318,714.3880373,585.5336813,692.114584,709.930231,664.4838628
AA3,715.9853343,695.259022,648.4613176,698.1085316,727.2809935,687.3169641,660.8052279,680.9280603,709.541685,620.3100209,669.0553874,666.0882093,637.671834,659.2081128,629.6121538,634.1198476,609.3084373,649.4328751,778.8251058,769.4251287,816.8231871,815.7434384,830.7740664,809.5196538,851.9999861,838.0361485,839.4827324,797.1732223,774.5087294,798.196776,790.9666874,803.6472489,794.2104539,806.2459059,806.7372199,732.8155087,460.4754455,476.6680048,428.6734631,447.1604531,476.0091103,441.8505792,471.9465548,581.4857636,477.0894579,690.8449537,648.0818187,670.5791134,685.4769704,676.9575121,659.9626142,681.4722335,676.3163654,644.1415757,723.2076916,807.8497322,770.9133321,768.2542814,763.0266496,832.5127098,749.6664537,741.7256916,751.1215433,665.0237092,479.9695129,591.3146806,726.1105206,563.1411522,497.9464119,763.9182441,520.3113113,738.777078
GT83,646.2915566,541.5526703,518.1087465,610.8767156,635.6335398,543.7744259,571.8171571,564.5245025,651.8278593,594.3956081,576.4003899,727.4724166,659.2168191,563.8061013,576.5588706,648.4089915,606.5538431,646.4208419,544.4841059,557.9084516,519.5445682,571.741052,589.6168583,567.2612265,639.5287954,598.5411849,541.3443724,540.8263953,594.5616017,560.8770696,501.9850937,491.4379866,552.7533653,530.8827715,552.4948669,572.4371955,682.4425616,588.4024612,764.7469776,665.8765961,636.447206,724.2731449,554.5028911,611.049074,643.7853532,604.4702859,511.9362166,568.9567402,555.9763389,614.2067644,573.5277214,597.6758043,563.1639323,565.893998,820.0044407,734.3766696,738.9526312,683.5764307,690.5197427,604.1384915,667.727469,835.3933073,570.5416821,464.9873729,829.7042664,580.6467733,507.5941977,744.2546441,785.9827051,646.9124182,854.9407445,662.9255818
AA3_2,408.9796547,548.9022151,503.56249,383.166212,435.4952996,494.7486526,439.0148719,538.1865054,427.9064664,554.7816802,575.2782873,490.6963563,537.8900448,626.305697,598.6194724,540.377313,524.1134682,548.4951295,653.5199356,731.5267847,794.8749524,820.0589017,823.6021108,801.4334811,844.2230887,745.7981695,796.7881642,731.0684979,668.5562085,721.9522182,749.9423322,741.1187225,721.1764954,723.1391217,726.288011,680.4077263,257.4001689,250.4786289,215.3817494,188.976004,247.0217018,226.0828913,263.9336034,354.7515504,271.5599614,464.9069538,531.7904216,492.9713665,493.7727838,483.5578511,491.0725457,507.5493244,459.6277704,425.7699213,567.002521,632.707938,597.7250167,617.3894904,624.5912982,693.0585721,594.0167164,555.8995073,666.872401,618.5343311,409.0741148,519.3160899,667.5588556,466.0410071,375.2896049,578.6825797,444.5628124,584.4137209
