sample	shannon
D1	3976.714074
D2	4032.549352
D3	4053.661236
D4	3841.737243
D5	3887.651501
D6	3918.926606
D7	3929.363532
D8	4060.07246
D9	3923.759999
D10	4144.477511
D11	4371.442933
D12	3842.545073
D13	4157.645629
D14	4195.943794
D15	4175.623891
D16	4156.419921
D17	3985.261937
D18	4240.751042
D19	4575.220823
D20	4760.406475
D21	4731.547597
D22	4826.825907
D23	4767.844585
D24	4841.876982
D25	4902.869975
D26	4891.799789
D27	4920.394299
D28	4803.127168
D29	4683.362726
D30	4789.233815
D31	4725.202169
D32	4776.462682
D33	4742.439336
D34	4819.606256
D35	4701.156191
D36	4390.44435
W1	2789.075933
W2	2856.963563
W3	2780.310002
W4	2618.517364
W5	2828.168039
W6	2705.609854
W7	2584.243203
W8	2847.066086
W9	2621.385423
W10	3870.059084
W11	3866.842975
W12	3831.08548
W13	3812.784728
W14	3918.944839
W15	3714.935248
W16	3971.624074
W17	3769.792858
W18	3726.585925
W19	3785.05512
W20	3887.413194
W21	3809.217603
W22	3910.619812
W23	3854.881962
W24	4292.064988
W25	3773.423926
W26	3636.739917
W27	3968.851779
W28	3744.052352
W29	3448.498632
W30	3489.673934
W31	4067.284204
W32	3629.301058
W33	3383.111023
W34	3807.211563
W35	3359.033164
W36	3920.872281
