sample	shannon
D1	1069.937799
D2	1059.572683
D3	1157.727769
D4	1190.693941
D5	1207.925786
D6	1168.603698
D7	1050.790548
D8	1060.259268
D9	1169.19093
D10	963.6749406
D11	1150.710236
D12	1053.907547
D13	1001.497972
D14	1033.83042
D15	1059.915598
D16	960.1647439
D17	951.196308
D18	1011.026345
D19	1060.634653
D20	1060.839225
D21	1064.273674
D22	1022.499603
D23	1119.080692
D24	1057.015301
D25	1105.977834
D26	1044.78926
D27	1049.926892
D28	1021.842998
D29	1067.657982
D30	1062.562661
D31	1027.944752
D32	1020.814975
D33	1052.164529
D34	1016.597339
D35	1025.745174
D36	1054.633783
W1	1618.949728
W2	1345.473745
W3	1405.390986
W4	1497.492258
W5	1261.452252
W6	1373.497784
W7	1562.00816
W8	1423.547114
W9	1398.786676
W10	1148.250311
W11	1211.716208
W12	1232.017682
W13	1158.22805
W14	1138.880433
W15	1200.886841
W16	1129.334072
W17	1196.129722
W18	1193.081986
W19	943.4215639
W20	1068.115582
W21	1087.360167
W22	1020.280052
W23	1099.473679
W24	1087.123929
W25	1015.211365
W26	1054.184231
W27	1182.983661
W28	990.8075979
W29	1306.994616
W30	1083.843182
W31	1089.646732
W32	1201.933965
W33	1189.720453
W34	1100.706035
W35	1169.165201
W36	1124.718929
