sample	shannon
D1	5475.779221
D2	5184.85924
D3	5305.865152
D4	5641.323699
D5	5779.133946
D6	5440.316196
D7	5158.538807
D8	5168.937528
D9	5678.980915
D10	4979.65656
D11	5114.553315
D12	5480.179404
D13	4969.355575
D14	5104.689246
D15	5103.977678
D16	5024.892933
D17	4971.980898
D18	5114.691352
D19	5320.143707
D20	5239.972767
D21	5388.086051
D22	5325.058569
D23	5307.462757
D24	5348.052764
D25	5288.58055
D26	5209.204832
D27	5120.355977
D28	5186.470567
D29	5285.879807
D30	5347.051926
D31	5277.812411
D32	5292.582658
D33	5276.185187
D34	5223.306181
D35	5161.382242
D36	5198.20898
W1	4653.624072
W2	4425.423346
W3	4425.757433
W4	4863.34986
W5	4173.782355
W6	4350.879442
W7	4158.084287
W8	4902.268504
W9	4545.421148
W10	5455.524176
W11	5464.410076
W12	5587.602636
W13	5401.892929
W14	5390.822336
W15	5505.539746
W16	5408.276107
W17	5226.601617
W18	5416.586079
W19	5339.045247
W20	5354.309762
W21	5399.361618
W22	5423.299076
W23	5355.096399
W24	5369.933239
W25	5164.312055
W26	5507.016507
W27	5321.319012
W28	5181.151631
W29	4756.876982
W30	5553.814761
W31	5140.873842
W32	4805.437716
W33	4433.180143
W34	5352.347734
W35	4863.462039
W36	5278.689907
