sample	shannon
D1	9400.008224
D2	10245.58557
D3	10604.29923
D4	8958.08202
D5	9030.850439
D6	9827.647704
D7	9385.580023
D8	10516.47926
D9	9580.679549
D10	10654.02556
D11	11239.88055
D12	10690.42849
D13	10567.69357
D14	11449.97117
D15	11236.47506
D16	10714.15997
D17	10917.50953
D18	10640.46198
D19	10761.75626
D20	10695.16067
D21	11747.08479
D22	11082.76948
D23	11855.44821
D24	11103.00429
D25	11371.06286
D26	11194.96565
D27	11817.4242
D28	10460.74898
D29	10398.56002
D30	10499.50371
D31	10651.15938
D32	10795.99272
D33	10379.17079
D34	10548.57376
D35	10623.26891
D36	10543.80999
W1	12546.70683
W2	11008.04836
W3	11082.2328
W4	13772.1717
W5	9544.002214
W6	10801.01776
W7	11563.43233
W8	11425.41177
W9	11948.72209
W10	9612.711945
W11	10244.05729
W12	10217.11429
W13	9844.189968
W14	9580.504818
W15	10443.35988
W16	9808.736825
W17	9960.726283
W18	10221.20912
W19	8859.839684
W20	9819.531017
W21	9921.4491
W22	10341.56141
W23	10210.59636
W24	10085.4984
W25	9902.742691
W26	9347.977142
W27	10812.33551
W28	9602.467544
W29	11884.32553
W30	10008.71918
W31	10209.6907
W32	11322.52228
W33	10453.87175
W34	9662.178487
W35	11136.68507
W36	10139.54951
