sample	shannon
D1	11184.6237
D2	10351.92262
D3	10110.50527
D4	11899.50808
D5	12169.32123
D6	10906.14805
D7	10863.09781
D8	10782.44418
D9	11511.81021
D10	10049.87966
D11	9820.395862
D12	11455.99292
D13	10148.38014
D14	9944.428087
D15	9992.235174
D16	10379.87436
D17	10298.21185
D18	10152.52238
D19	9343.87023
D20	9285.000573
D21	8848.400459
D22	9084.626578
D23	9004.319983
D24	9125.422369
D25	9433.575559
D26	9207.509477
D27	8953.28706
D28	9612.564625
D29	10034.62897
D30	9679.316289
D31	9451.491585
D32	9074.537984
D33	9668.815997
D34	9558.227703
D35	9514.807949
D36	10321.98271
W1	12305.52903
W2	11805.69467
W3	13061.4426
W4	12500.30132
W5	12670.62592
W6	12906.70686
W7	12097.42274
W8	12271.94532
W9	12236.08091
W10	12143.14574
W11	11320.85398
W12	11757.82544
W13	11968.10064
W14	12193.07543
W15	11342.43494
W16	11965.65409
W17	11664.92416
W18	11645.21813
W19	12163.26254
W20	11586.0479
W21	11341.56018
W22	10635.72387
W23	11104.399
W24	9864.671664
W25	10929.26053
W26	11991.5487
W27	9958.488073
W28	10505.00238
W29	12353.49031
W30	10560.3591
W31	10368.17033
W32	11779.12792
W33	12708.59573
W34	10955.45797
W35	12777.67226
W36	11139.83348
