sample	shannon
D1	675.7294078
D2	745.4704063
D3	701.2448825
D4	723.2597244
D5	775.3618027
D6	712.3091451
D7	714.5037601
D8	742.4743114
D9	754.2346698
D10	947.0121589
D11	925.0394524
D12	910.3803647
D13	959.0785431
D14	886.526392
D15	914.6460196
D16	1005.9034
D17	907.3885512
D18	949.8218989
D19	783.991638
D20	811.2637541
D21	799.3144195
D22	752.499339
D23	700.871924
D24	764.2278102
D25	747.5835722
D26	748.190021
D27	654.5890801
D28	872.9850392
D29	984.0364003
D30	890.0364174
D31	840.0182347
D32	817.7260824
D33	917.2871737
D34	873.2981831
D35	902.6799963
D36	960.4868799
W1	800.5150539
W2	683.2635829
W3	801.0888201
W4	864.8699183
W5	656.1310179
W6	745.5732845
W7	740.8497991
W8	762.4773168
W9	800.2686868
W10	876.6836257
W11	775.192918
W12	854.8547322
W13	789.8592799
W14	873.1382474
W15	755.4928341
W16	838.4224308
W17	768.7446568
W18	792.1478357
W19	873.9223698
W20	872.4946908
W21	901.8591245
W22	825.952011
W23	844.9243906
W24	815.1715851
W25	814.5290861
W26	913.9719
W27	774.6320818
W28	744.8744173
W29	837.1651473
W30	827.0896032
W31	848.3895442
W32	849.5805284
W33	692.126971
W34	843.4124358
W35	860.4204625
W36	909.8251427
