Family,AA,CBM,CE,GH,GT,PL
Ap_E1_D_1,4060.07246,1060.259268,5168.937528,10516.47926,10782.44418,742.4743114
Ap_E1_D_2,3929.363532,1050.790548,5158.538807,9385.580023,10863.09781,714.5037601
Ap_E1_D_3,3841.737243,1190.693941,5641.323699,8958.08202,11899.50808,723.2597244
Ap_E2_D_1,4157.645629,1001.497972,4969.355575,10567.69357,10148.38014,959.0785431
Ap_E2_D_2,4144.477511,963.6749406,4979.65656,10654.02556,10049.87966,947.0121589
Ap_E2_D_3,4156.419921,960.1647439,5024.892933,10714.15997,10379.87436,1005.9034
Ap_E3_D_1,4731.547597,1064.273674,5388.086051,11747.08479,8848.400459,799.3144195
Ap_E3_D_2,4826.825907,1022.499603,5325.058569,11082.76948,9084.626578,752.499339
Ap_E3_D_3,4891.799789,1044.78926,5209.204832,11194.96565,9207.509477,748.190021
Ap_E4_D_1,4776.462682,1020.814975,5292.582658,10795.99272,9074.537984,817.7260824
Ap_E4_D_2,4819.606256,1016.597339,5223.306181,10548.57376,9558.227703,873.2981831
Ap_E4_D_3,4390.44435,1054.633783,5198.20898,10543.80999,10321.98271,960.4868799
Au_E1_D_1,3887.651501,1207.925786,5779.133946,9030.850439,12169.32123,775.3618027
Au_E1_D_2,3923.759999,1169.19093,5678.980915,9580.679549,11511.81021,754.2346698
Au_E1_D_3,3918.926606,1168.603698,5440.316196,9827.647704,10906.14805,712.3091451
Au_E2_D_1,3842.545073,1053.907547,5480.179404,10690.42849,11455.99292,910.3803647
Au_E2_D_2,3985.261937,951.196308,4971.980898,10917.50953,10298.21185,907.3885512
Au_E2_D_3,4371.442933,1150.710236,5114.553315,11239.88055,9820.395862,925.0394524
Au_E3_D_1,4760.406475,1060.839225,5239.972767,10695.16067,9285.000573,811.2637541
Au_E3_D_2,4841.876982,1057.015301,5348.052764,11103.00429,9125.422369,764.2278102
Au_E3_D_3,4575.220823,1060.634653,5320.143707,10761.75626,9343.87023,783.991638
Au_E4_D_1,4789.233815,1062.562661,5347.051926,10499.50371,9679.316289,890.0364174
Au_E4_D_2,4683.362726,1067.657982,5285.879807,10398.56002,10034.62897,984.0364003
Au_E4_D_3,4742.439336,1052.164529,5276.185187,10379.17079,9668.815997,917.2871737
Ju_E1_D_1,3976.714074,1069.937799,5475.779221,9400.008224,11184.6237,675.7294078
Ju_E1_D_2,4032.549352,1059.572683,5184.85924,10245.58557,10351.92262,745.4704063
Ju_E1_D_3,4053.661236,1157.727769,5305.865152,10604.29923,10110.50527,701.2448825
Ju_E2_D_1,4175.623891,1059.915598,5103.977678,11236.47506,9992.235174,914.6460196
Ju_E2_D_2,4195.943794,1033.83042,5104.689246,11449.97117,9944.428087,886.526392
Ju_E2_D_3,4240.751042,1011.026345,5114.691352,10640.46198,10152.52238,949.8218989
Ju_E3_D_1,4902.869975,1105.977834,5288.58055,11371.06286,9433.575559,747.5835722
Ju_E3_D_2,4767.844585,1119.080692,5307.462757,11855.44821,9004.319983,700.871924
Ju_E3_D_3,4920.394299,1049.926892,5120.355977,11817.4242,8953.28706,654.5890801
Ju_E4_D_1,4725.202169,1027.944752,5277.812411,10651.15938,9451.491585,840.0182347
Ju_E4_D_2,4701.156191,1025.745174,5161.382242,10623.26891,9514.807949,902.6799963
Ju_E4_D_3,4803.127168,1021.842998,5186.470567,10460.74898,9612.564625,872.9850392
