Family,AA,CBM,CE,GH,GT,PL
Ap_E1_W_1,2828.168039,1261.452252,4173.782355,9544.002214,12670.62592,656.1310179
Ap_E1_W_2,2705.609854,1373.497784,4350.879442,10801.01776,12906.70686,745.5732845
Ap_E1_W_3,2780.310002,1405.390986,4425.757433,11082.2328,13061.4426,801.0888201
Ap_E2_W_1,3870.059084,1148.250311,5455.524176,9612.711945,12143.14574,876.6836257
Ap_E2_W_2,3971.624074,1129.334072,5408.276107,9808.736825,11965.65409,838.4224308
Ap_E2_W_3,3918.944839,1138.880433,5390.822336,9580.504818,12193.07543,873.1382474
Ap_E3_W_1,3854.881962,1099.473679,5355.096399,10210.59636,11104.399,844.9243906
Ap_E3_W_2,3887.413194,1068.115582,5354.309762,9819.531017,11586.0479,872.4946908
Ap_E3_W_3,3809.217603,1087.360167,5399.361618,9921.4491,11341.56018,901.8591245
Ap_E4_W_1,3807.211563,1100.706035,5352.347734,9662.178487,10955.45797,843.4124358
Ap_E4_W_2,3920.872281,1124.718929,5278.689907,10139.54951,11139.83348,909.8251427
Ap_E4_W_3,3744.052352,990.8075979,5181.151631,9602.467544,10505.00238,744.8744173
Au_E1_W_1,2621.385423,1398.786676,4545.421148,11948.72209,12236.08091,800.2686868
Au_E1_W_2,2618.517364,1497.492258,4863.34986,13772.1717,12500.30132,864.8699183
Au_E1_W_3,2856.963563,1345.473745,4425.423346,11008.04836,11805.69467,683.2635829
Au_E2_W_1,3812.784728,1158.22805,5401.892929,9844.189968,11968.10064,789.8592799
Au_E2_W_2,3831.08548,1232.017682,5587.602636,10217.11429,11757.82544,854.8547322
Au_E2_W_3,3866.842975,1211.716208,5464.410076,10244.05729,11320.85398,775.192918
Au_E3_W_1,4292.064988,1087.123929,5369.933239,10085.4984,9864.671664,815.1715851
Au_E3_W_2,3910.619812,1020.280052,5423.299076,10341.56141,10635.72387,825.952011
Au_E3_W_3,3968.851779,1182.983661,5321.319012,10812.33551,9958.488073,774.6320818
Au_E4_W_1,3489.673934,1083.843182,5553.814761,10008.71918,10560.3591,827.0896032
Au_E4_W_2,4067.284204,1089.646732,5140.873842,10209.6907,10368.17033,848.3895442
Au_E4_W_3,3383.111023,1189.720453,4433.180143,10453.87175,12708.59573,692.126971
Ju_E1_W_1,2584.243203,1562.00816,4158.084287,11563.43233,12097.42274,740.8497991
Ju_E1_W_2,2847.066086,1423.547114,4902.268504,11425.41177,12271.94532,762.4773168
Ju_E1_W_3,2789.075933,1618.949728,4653.624072,12546.70683,12305.52903,800.5150539
Ju_E2_W_1,3726.585925,1193.081986,5416.586079,10221.20912,11645.21813,792.1478357
Ju_E2_W_2,3714.935248,1200.886841,5505.539746,10443.35988,11342.43494,755.4928341
Ju_E2_W_3,3769.792858,1196.129722,5226.601617,9960.726283,11664.92416,768.7446568
Ju_E3_W_1,3636.739917,1054.184231,5507.016507,9347.977142,11991.5487,913.9719
Ju_E3_W_2,3785.05512,943.4215639,5339.045247,8859.839684,12163.26254,873.9223698
Ju_E3_W_3,3773.423926,1015.211365,5164.312055,9902.742691,10929.26053,814.5290861
Ju_E4_W_1,3448.498632,1306.994616,4756.876982,11884.32553,12353.49031,837.1651473
Ju_E4_W_2,3359.033164,1169.165201,4863.462039,11136.68507,12777.67226,860.4204625
Ju_E4_W_3,3629.301058,1201.933965,4805.437716,11322.52228,11779.12792,849.5805284
