Taxon,SWC,pH,NH4+,NO3-,SON,SOC,TN,TP
ApE1D1,28.83435583,7.31,2.445,1.004,3.733,3.446929693,0.470722169,0.81
ApE1D2,27.5862069,7.07,2.036,0.753,3.135,3.140851021,0.439813077,24.33
ApE1D3,27.16763006,7,1.25,0.577,3.067,3.700284004,0.480771154,19.981
ApE2D1,12.54535998,8.3,1.105,0.347,0.217,2.456974745,0.255953014,15.926
ApE2D2,14.19097671,9.21,0.909,0.336,0.17,1.921323657,0.185632497,25.267
ApE2D3,14.0948024,9.67,1.204,0.606,0.473,1.524315953,0.15322879,0.509
ApE3D1,15.45155028,7.51,2.855,0.09,0.357,3.760467529,0.452786714,11.688
ApE3D2,13.62693535,8.27,2.682,0.049,0.363,4.054271698,0.486084282,11.264
ApE3D3,16.3770637,8.25,2.149,0.086,0.472,3.090762377,0.40044561,6.827
ApE4D1,5.59341215,9.03,1.314,0.138,0.142,1.561009526,0.119314574,17.525
ApE4D2,5.414198278,8.77,1.083,0.128,0.185,1.143092036,0.129720464,18.092
ApE4D3,5.054969764,8.51,1.408,0.206,0.162,1.758655667,0.127680764,21.525
AuE1D1,27.946153,7.18,3.186,0.116,0.274,4.06,0.420937508,11.666
AuE1D2,27.537924,7.03,1.815,0.147,0.196,3.78,0.407975674,11.483
AuE1D3,27.00729927,7.33,2.509,4.117,0.483,3.71,0.417318553,10.839
AuE2D1,19.45701357,8.61,1.21,0.825,0.425,1.17,0.175951913,10.364
AuE2D2,25.51020408,9.19,1.764,0.698,0.499,1.4,0.217053398,10.888
AuE2D3,35.11111111,8.525,3.13,0.989,0.89,1.5,0.225757942,10.3
AuE3D1,26.4957265,7.985,3.545,0.031,0.79,3.77,0.401126206,6.861
AuE3D2,27.18446602,8.315,3.023,0.013,0.782,4.01,0.431258291,7.3
AuE3D3,27.18446602,7.655,4.637,0.012,0.993,4.23,0.46269083,6.89
AuE4D1,14.38356164,8.655,2.036,0.5,0.532,1.39,0.095397137,5.756
AuE4D2,12.33766234,8.755,0.756,0.588,0.424,1.35,0.11225336,5.702
AuE4D3,11.11111111,8.075,0.774,0.486,0.408,1.38,0.101515561,5.599
JuE1D1,42.9022082,7.46,3.976,0.017,0.325,2.932579517,0.376995921,22.178
JuE1D2,45.01278772,7.72,3.246,0.046,0.435,3.393799543,0.419759661,37.681
JuE1D3,38.18181818,7.23,4.225,0.109,0.484,3.198039055,0.423597366,38.621
JuE2D1,43.15068493,8.51,1.701,0.242,0.192,0.973967195,0.146113738,21.295
JuE2D2,43.18181818,8.44,2.748,0.292,0.242,1.043740153,0.177293211,22.791
JuE2D3,47.4801061,7.81,1.215,0.152,0.184,0.853680074,0.25293228,19.717
JuE3D1,59.87654321,8.05,2.784,0.025,0.448,4.190723419,0.414605945,6.578
JuE3D2,57.73955774,7.63,2.249,0.014,0.351,3.63624382,0.395975411,14.188
JuE3D3,64.35643564,7.49,2.612,0.023,0.469,3.506948709,0.395608693,15.328
JuE4D1,42.23602484,7.87,1.604,0.387,0.257,0.656839728,0.089819863,12.894
JuE4D2,41.57549234,8.01,1.329,0.378,0.223,0.667293787,0.110812791,6.717
JuE4D3,44.81012658,8.07,1.694,0.362,0.212,0.641872287,0.110506214,13.374
