Taxon,ApE1D1,ApE1D2,ApE1D3,ApE2D1,ApE2D2,ApE2D3,ApE3D1,ApE3D2,ApE3D3,ApE4D1,ApE4D2,ApE4D3,JuE1D1,JuE1D2,JuE1D3,JuE2D1,JuE2D2,JuE2D3,JuE3D1,JuE3D2,JuE3D3,JuE4D1,JuE4D2,JuE4D3,ApE1W1,ApE1W2,ApE1W3,ApE2W1,ApE2W2,ApE2W3,ApE3W1,ApE3W2,ApE3W3,ApE4W1,ApE4W2,ApE4W3,JuE1W1,JuE1W2,JuE1W3,JuE2W1,JuE2W2,JuE2W3,JuE3W1,JuE3W2,JuE3W3,JuE4W1,JuE4W2,JuE4W3,AuE1D1,AuE1D2,AuE1D3,AuE2D1,AuE2D2,AuE2D3,AuE3D1,AuE3D2,AuE3D3,AuE4D1,AuE4D2,AuE4D3,AuE1W1,AuE1W2,AuE1W3,AuE2W1,AuE2W2,AuE2W3,AuE3W1,AuE3W2,AuE3W3,AuE4W1,AuE4W2,AuE4W3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19608E-08,6.45775E-08,0,0,0,0,0,0,0,0,0,0,0,1.08451E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89317E-08,3.99507E-07,5.87908E-08,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21751E-08,0,0,0,0,1.75326E-07,6.15531E-08,0,0,0,0,1.57585E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64975E-08,1.54536E-07,0,0,0,0,0,0,0
3,0,0,0,4.34896E-08,0,2.46204E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03697E-08,3.53943E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97843E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86699E-08,4.08669E-08,0,3.33478E-08,0,0,0,0,0,0,0,0,2.36048E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93505E-08,7.36696E-08
6,0,0,0,0,0,0,0,0,0,0,0,5.34366E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43525E-08,0,0,0,9.28318E-08,0,0,6.60475E-08,4.08263E-08,1.61686E-07,0,0,0,0,0,0,0,0,1.14447E-07,0,0,9.56446E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05473E-07,1.8974E-07,1.19062E-07
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.73467E-07,7.09913E-08,0,4.22099E-07,5.50424E-07,3.52634E-07,1.65884E-07,3.78762E-08,3.54184E-08,0,0,1.38006E-07,1.15149E-07,2.17581E-07,2.82211E-07,5.20078E-07,9.66219E-07,4.44237E-07,0,4.62835E-08,1.93851E-08,5.45687E-08,0,0,0,0,0,0,0,0,1.9979E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53118E-08,8.63574E-08,1.20672E-07,7.74316E-07,6.89122E-07,4.43742E-07,1.71047E-08,3.01371E-08,1.23184E-07,3.68269E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,8.42227E-08,3.81631E-08,8.45212E-08,2.97893E-08,0,0,0,0,0,0,0,0,2.78741E-08,2.11694E-07,1.7733E-07,0,0,0,0,0,0,0,0,0,2.61089E-08,0,2.60635E-08,0,0,0,0,0,0,0,0,0,0,0,2.14589E-08,0,0,0,0,0,0,0,0,0,0,0,4.64683E-08,0,0,0,0,0,0,0,0,0,0,0,1.01041E-07,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35797E-08,7.92862E-08,1.55307E-07,0,0,0,0,0,0,0,0,0,1.0639E-07,7.63565E-08,8.95424E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16308E-07,2.05491E-08,6.59828E-08,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72362E-08,4.72148E-08,0,0,0,0,0,0,0,0,0,7.71785E-08,3.32879E-07,0,0,0,0,0,0,0,0,0,1.98092E-08,0,0,0,0,0,0,0,0,0,0,0,0,9.04365E-08,2.0782E-07,0,0,0,0,0,0,0,0,0,3.55964E-07
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00743E-08,9.16984E-08,2.62854E-08,0,0,1.10657E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23315E-07,7.63178E-08,7.05257E-08,0,0,0,0,0,0,0,0,1.60949E-07
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85496E-08,2.67489E-07,0,0,0,0,0,0,0,0,0,8.34122E-08,0,8.37694E-08,0,0,2.6267E-08,0,0,0,0,2.61484E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99267E-07,3.07056E-08,1.0519E-07,4.83259E-08,5.65362E-08,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69885E-08,0,3.67716E-08,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,3.80591E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37378E-07,0,2.06541E-08,3.90335E-08,0,0,0,0,0,0,1.18821E-08,0,7.51334E-08,2.28024E-08,2.14034E-08,0,0,0,0,0,4.04111E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28189E-07,1.377E-07,0,1.72096E-08,8.05336E-08,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28482E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62086E-08,0,0,0,0,0,0,0,0,0,0,0
18,7.6587E-08,0,0,0,0,0,0,0,0,0,0,0,3.00875E-08,1.94554E-07,3.48965E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38678E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
