	Actinobacteria	Proteobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Thaumarchaeota	Gemmatimonadetes_d__Bacteria	unclassified_d__Bacteria	Verrucomicrobia	Planctomycetes	Candidatus_Rokubacteria	Others	Proteobacteria	Actinobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Gemmatimonadetes	unclassified	Firmicutes	Rokubacteria	Nitrospirae	Cyanobacteria	Others	Actinobacteria	Proteobacteria	Chloroflexi	Acidobacteria	Bacteroidetes	unclassified	Planctomycetes	Gemmatimonadetes	Firmicutes	Verrucomicrobia	Ignavibacteriae	Others
ApE1D1	3027.638141	1680.535633	723.6816603	421.7581479	86.58556015	201.9652053	150.7095682	105.1353601	49.05793585	79.84485082	27.64307516	405.280139	248.5113132	223.9006144	87.67580033	12.53888913	5.196017299	13.60438263	7.692466781	3.593354235	0.110696033	0.120813412	9.750119151	20.72568973	177.2503099	43.82322065	10.54909886	27.3112859	7.398813914	6.42785878	3.653227699	7.430069251	1.813333422	0.19711662	0.111244033	3.758287092
ApE1D2	2528.234469	1491.675942	593.9118837	451.5389695	78.10913054	281.6614537	147.7695716	125.9269664	43.01805466	76.67480126	43.86540434	385.6896409	228.2114197	202.8296266	65.94650349	14.50902834	1.978459374	14.06432514	9.859857412	3.204778512	0.80331425	2.099211506	3.085193438	28.00447965	136.2635146	32.50997494	12.55918007	24.78634142	8.267159895	3.981027979	4.579664721	6.721846134	3.744644648	0.471746994	1.076410304	7.201584208
ApE1D3	2308.882133	1580.158174	548.076999	572.4609503	199.1947959	260.9733577	297.8464415	168.4509161	94.73856044	114.2422559	37.1593642	477.3141332	200.4158212	151.4160206	49.14646553	20.16549102	6.494818759	39.92746513	12.93374452	1.657694373	0	0.184132369	2.891817069	35.71762801	90.09055714	34.94391025	20.04530308	12.95585561	15.00852498	1.029734832	3.469473223	10.45791574	6.13172639	1.183730887	4.148710117	15.40962379
ApE2D1	2980.381074	1477.972804	1088.133928	444.4967567	194.2180257	350.2172808	100.9278118	115.6711004	75.9587709	98.24832367	36.86740383	345.794346	266.4058852	258.390167	137.2938491	22.1051553	5.813532201	7.686280381	9.7248763	8.757939841	0.462601289	3.055336908	1.376151787	10.17019826	162.6426364	57.01752459	14.31700912	34.72446738	17.09615533	11.94062749	3.86003397	3.177410795	1.96556514	1.926572936	1.678698008	7.253701437
ApE2D2	3127.143793	1561.018783	990.7559184	394.7174514	142.4738055	296.90876	136.0999978	106.6537805	77.29465797	90.07084196	31.61520279	342.5967419	281.9253475	258.5789246	112.6887919	15.17401202	2.854533388	5.780079403	6.942448124	5.978942428	0.188383004	2.354153477	3.74815329	7.031592623	159.6385192	65.67330882	10.57754886	40.99992974	12.60562581	12.32791951	2.993937395	4.086490837	0.583389555	0.851715018	0.252246271	6.179433937
ApE2D3	3001.962978	1544.351713	1160.9363	453.5035986	164.5813107	305.7777474	102.0347334	122.6656843	86.28750623	106.937372	38.23721598	344.7773168	262.8328536	253.8798612	137.6945969	22.95828468	2.777074485	4.170926856	10.87612493	7.909445193	0.853029498	1.44853395	5.520989673	7.628663854	170.6630537	57.83345534	11.9596793	45.06088908	13.26268627	13.64463937	4.441479198	1.052897948	1.842563796	1.178270191	1.543084191	5.312121903
ApE3D1	3721.384161	2004.064573	697.911035	210.2810101	427.379264	145.9877228	54.43301861	66.84005647	71.33167953	56.93711053	75.25306026	157.2491129	388.7389003	214.6000591	56.68686986	8.478403695	17.03377969	3.38223351	1.836260535	1.604549362	1.906549156	0.993762275	0.90500773	6.35110328	258.2119791	94.04995568	12.94843249	17.96835034	60.16728447	5.162680177	6.055656972	1.476078456	2.573847384	3.177066243	0	9.900907021
ApE3D2	3666.020387	1960.65192	790.7930924	264.2271574	151.9382874	170.8832895	62.81161274	69.71634821	88.94951361	57.41021862	97.44726304	168.9737029	408.5004782	231.0953962	80.50970329	7.488910491	3.764506823	2.633625434	1.060108137	1.705489177	3.607818317	2.237366227	1.105790732	8.294405032	233.6171844	79.31866243	19.92306105	22.99209051	17.92336747	2.78017781	6.836393149	1.552294088	1.968340672	2.587120256	0.130685823	6.980817983
ApE3D3	3955.334652	1655.89191	772.4757135	312.1104789	95.96139409	224.9244016	71.50416375	76.59818992	120.0777732	49.02995892	145.1960359	160.2455079	324.8298986	269.1167084	66.23782376	12.00000781	3.769181522	7.370531978	1.580908572	1.531982327	4.837233959	1.985984879	2.349013945	8.916770227	231.6370522	62.1484699	27.17651928	25.50712904	12.45163367	1.694067927	6.43261241	2.028067222	0.426554179	1.184930564	0	6.344299589
ApE4D1	3433.89868	1710.753169	944.9563339	322.0786131	112.8379811	190.5796063	85.03746621	88.01441463	104.4470752	71.53741243	112.6257863	202.3948692	339.8008787	209.9248341	84.82001527	15.18596003	6.50934988	4.578677104	1.299548458	1.340686714	6.004841494	11.13077547	2.019829109	5.95515889	210.2777476	64.81866789	26.91831901	23.40876025	9.635754326	2.743931947	6.683527363	2.297580704	2.886538898	1.424002301	0	7.132821396
