	Actinobacteria	Proteobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Thaumarchaeota	Gemmatimonadetes_d__Bacteria	unclassified_d__Bacteria	Verrucomicrobia	Planctomycetes	Candidatus_Rokubacteria	Others	Proteobacteria	Actinobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Gemmatimonadetes	unclassified	Firmicutes	Rokubacteria	Nitrospirae	Cyanobacteria	Others	Actinobacteria	Proteobacteria	Chloroflexi	Acidobacteria	Bacteroidetes	unclassified	Planctomycetes	Gemmatimonadetes	Firmicutes	Verrucomicrobia	Ignavibacteriae	Others
ApE1W1	851.8790164	2674.213707	288.4572788	689.9290991	506.8168536	2.646186875	129.4396417	160.213617	82.08086388	134.7207771	12.12835284	499.483726	652.4018126	52.9601569	40.42014634	31.68460033	18.90313962	2.645666255	11.31202962	5.551224689	1.253781685	1.415857112	0.573964472	25.29298801	60.77835924	51.63843767	32.84961838	12.47155168	36.04909269	14.37521555	5.718165484	10.23973679	2.71897008	2.147411357	5.204351187	17.03761054
ApE1W2	695.3461608	2680.786706	352.9842857	826.8580728	759.6473598	2.623620663	122.9040982	190.6790445	90.77318201	167.4206866	9.515259415	580.3707386	672.9215679	33.23343856	43.96859358	43.3307261	29.3752143	4.446582794	16.98725465	9.665974857	0.617054118	1.579876404	0.619651868	26.23724179	60.94296974	54.74561047	43.01665389	13.67763189	61.18805684	23.55622733	9.419240657	5.094637278	8.871068068	4.981674798	4.770426837	19.76103409
ApE1W3	651.730717	2768.306424	348.4990618	979.2786276	819.1453105	4.080615797	95.70963137	213.7901895	92.59779707	186.5152359	10.62646892	571.5726911	733.5006283	38.31753989	51.94913174	51.62474925	32.60391694	4.111782848	14.66250709	5.882396895	2.475861931	2.785969982	0.164813054	19.26456663	48.05420045	62.36576766	49.76468473	15.2863412	57.4158298	23.09017191	9.826738028	4.297341135	6.690953191	2.94724335	9.922948571	14.10393476
ApE2W1	1864.781899	2155.240802	812.630134	706.3436743	206.7161	145.555122	272.9856315	125.5417604	74.93399565	113.9275751	79.31812265	392.0405632	349.22391	111.2956638	75.5227082	29.39425167	9.196811457	20.67458863	9.283952219	2.430157908	5.532908733	2.2061838	0.849279115	25.16181549	87.65527601	36.95744926	36.41269487	16.52106103	18.67601257	2.036179509	3.966105317	13.42347644	1.924935437	1.290046548	0.641995084	8.81079645
ApE2W2	2000.683699	2111.350501	904.9991176	650.0955204	207.3843942	106.6825453	265.2969604	140.2122216	76.57162017	94.56374654	89.83523725	371.8077675	363.7488607	116.3667487	86.42913249	26.8785231	7.74330031	20.43604013	12.04333815	3.48052941	7.715099629	4.390855894	0.775368974	20.38744267	84.74151485	41.30316264	35.25427764	17.0060208	18.87720066	2.524517838	4.185424891	8.826314723	0.830256501	1.33595726	1.204274967	8.918319353
ApE2W3	1938.207592	2048.60141	933.8182298	690.2180297	200.0508312	164.2770224	263.6721393	145.1546526	77.71215647	101.2707237	79.35073561	381.3586433	355.1198518	122.6176483	90.12455222	27.00708663	6.264309106	22.11638036	10.6270763	3.537317865	6.342227734	1.766546368	0.631796035	26.2594251	76.18191292	35.32547145	38.33747462	19.87266524	16.12546024	1.914479125	4.396304569	13.92462561	1.070097715	1.079374283	1.987052002	6.260305265
ApE3W1	2004.805246	2537.555598	1185.077033	327.062019	213.7900768	26.6260984	93.11382663	97.22646527	261.4693884	75.66693945	257.5606181	273.9412757	479.3353894	120.0213326	87.14543964	8.620193058	3.231142961	1.26412144	5.325405276	0.834744684	14.45166677	4.07549517	0.362278069	19.47012933	114.0344232	85.50380091	17.22400388	44.55849019	17.1921688	2.916348588	10.44506648	6.04355096	4.486624485	2.796666945	0.757051955	11.96786194
ApE3W2	2005.694552	2403.277314	1358.571037	318.7399986	167.0010496	37.02765508	74.92454043	111.4070853	132.9794956	76.55760234	320.2865695	310.8064279	451.1333709	125.075721	94.93720635	8.122690426	5.885366635	2.834404466	4.384258463	1.696771116	19.43444796	6.167929703	0.498712482	9.588245457	99.67125777	87.32210435	22.66204717	54.49749961	16.25254299	3.681627918	7.440648944	3.914641146	4.910006536	3.025488907	0.429195221	7.470687817
ApE3W3	1928.734011	2359.941633	1269.266878	325.827401	262.8791123	35.49373448	92.74213161	102.2313173	157.2705374	88.81780326	364.3819642	288.8873424	440.9072699	118.1107626	100.701605	6.578757574	7.067798067	4.220297397	3.602651559	1.078680375	24.25821272	7.49335911	0.585236114	15.37718119	101.845748	85.10382293	20.0590646	41.15696458	20.97308657	3.043544087	7.642240087	4.232232593	5.705328593	1.729258692	0.368341242	8.980897863
ApE4W1	2785.772087	1855.399648	1036.023092	499.3672173	99.83222664	7.264841946	75.29556046	95.91422531	76.19471688	76.82668457	66.05021874	298.1539683	390.4698919	187.6626457	97.42332196	16.19613596	2.673234994	0.749334597	3.143421605	5.694454187	4.156218723	3.671076247	0.309138352	7.688372896	152.5205192	45.8463159	34.70611456	27.26843322	7.653740332	3.070715723	2.648181781	2.036874727	11.20646316	0.279985488	0.701950641	7.778102956
