Taxon	SWC	pH	NH4+	NO3-	SON	SOC	TN	TP
ApE1W1	80.95238095	7.55	2.622	0.548	0.349	10.93988609	1.148034692	48.155
ApE1W2	66.03773585	7.07	2.828	0.617	0.27	9.299773216	1.035400629	48.918
ApE1W3	77.38095238	7.2	2.25	0.178	0.19	7.667393684	0.862779975	20.424
ApE2W1	59.67853697	7.89	1.741	0.041	0.822	6.828163147	0.567801654	13.628
ApE2W2	45.59519927	7.9	2.673	0.005	0.545	6.357256413	0.458818704	11.848
ApE2W3	45.25774764	7.85	1.227	0.013	0.375	5.48413229	0.429165244	21.182
ApE3W1	50.55741805	7.59	2.295	1.924	1.3	16.29110718	1.503814697	36.984
ApE3W2	62.82717993	7.35	2.47	0.46	0.564	20.22007751	1.781090379	37.624
ApE3W3	53.53631381	6.35	2.968	1.03	3.025	14.97084236	1.375301361	16.964
ApE4W1	27.16734345	8.45	1.351	0.013	0.276	1.853144526	0.149290338	18.735
ApE4W2	26.19094392	8.55	1.129	0.006	0.177	2.042270184	0.152712762	17.355
ApE4W3	24.23494668	8.22	0.978	0.01	0.172	1.947707	0.133975193	16.912
AuE1W1	48.55491329	7.32	5.934	0.013	0.357	6.31	0.631069243	10.287
AuE1W2	52.44755245	7.23	1.996	0.005	0.178	6.4	0.671988308	10.94
AuE1W3	71.69811321	7.41	4.183	0.003	0.317	7.86	0.777972221	12.694
AuE2W1	60.19900498	8.045	5.354	0.009	1.51	3.85	0.415387899	7.282
AuE2W2	57.39130435	7.74	3.907	0.45	0.681	3.53	0.575490654	6.668
AuE2W3	55.78947368	7.64	3.726	0.956	1.307	4.83	0.695031762	6.999
AuE3W1	50.54945055	7.43	11.843	0.011	2.157	16.98	1.510873199	11.876
AuE3W2	47.14285714	7.22	8.696	5.334	1.463	15.48	1.38381052	11.917
AuE3W3	47.42268041	6.795	9.066	0.001	2.006	17.48	1.476637363	12.044
AuE4W1	25.82417582	8.29	0.922	0.025	0.285	1.57	0.143028378	5.903
AuE4W2	26.25	8.4	2.539	0.013	0.525	1.67	0.143170163	6.195
AuE4W3	23.31606218	8.175	1.619	0.028	0.401	1.6	0.132468581	6.214
JuE1W1	73.52941176	7.36	3.052	0.01	0.622	6.675444603	0.832533896	16.961
JuE1W2	74.66666667	7.38	4.967	0.006	0.537	6.016448021	0.601041138	8.432
JuE1W3	84.97109827	7.54	1.764	0.03	0.65	6.090044498	0.700178921	15.075
JuE2W1	89.85507246	7.93	2.338	0.008	0.273	5.559744358	0.517152607	14.569
JuE2W2	85.33602525	7.59	3.106	0.006	0.345	4.771187305	0.480162889	14.235
JuE2W3	78.80794702	7.51	2.527	0.004	0.306	6.694387436	0.827811718	15.311
JuE3W1	80.32786885	7	9.342	0.018	1.279	17.83029366	1.516822457	33.617
JuE3W2	82.75862069	7.1	10.799	0.676	0.891	16.5977478	1.648472905	22.335
JuE3W3	73.51351351	7.32	8.497	3.357	1.484	15.58355904	1.527487874	23.983
JuE4W1	51.35746606	7.86	1.406	0.018	0.211	1.404674411	0.091909438	13.714
JuE4W2	44.921875	8.26	1.846	0.13	0.239	1.372894406	0.123656936	13.32
JuE4W3	56.91964286	8.21	1.12	0.12	0.189	1.642020345	0.155437037	14.036
